id,neighbourhood_group,neighbourhood,room_type,price,minimum_nights
26012,Brooklyn,Gowanus,Entire home/apt,200,30
26362,Manhattan,Hell's Kitchen,Private room,59,2
26520,Brooklyn,Clinton Hill,Private room,125,2
26559,Manhattan,East Village,Entire home/apt,140,7
26785,Brooklyn,South Slope,Entire home/apt,120,30
26933,Manhattan,East Village,Entire home/apt,350,2
26954,Manhattan,Kips Bay,Entire home/apt,199,5
26969,Brooklyn,Williamsburg,Entire home/apt,325,3
27006,Manhattan,Upper West Side,Entire home/apt,235,6
27385,Manhattan,East Village,Entire home/apt,225,1
27531,Brooklyn,South Slope,Private room,99,2
27644,Manhattan,Harlem,Entire home/apt,170,2
27659,Brooklyn,South Slope,Entire home/apt,400,2
27759,Manhattan,Upper West Side,Entire home/apt,170,7
27883,Manhattan,East Village,Entire home/apt,100,4
28321,Brooklyn,Prospect-Lefferts Gardens,Private room,75,2
28396,Brooklyn,Williamsburg,Private room,90,1
28907,Manhattan,Upper East Side,Entire home/apt,150,5
29012,Manhattan,Washington Heights,Private room,85,15
29013,Brooklyn,Bedford-Stuyvesant,Private room,70,3
29455,Manhattan,Harlem,Entire home/apt,120,3
29628,Brooklyn,Clinton Hill,Private room,89,3
29683,Manhattan,East Village,Entire home/apt,185,5
30031,Brooklyn,Greenpoint,Private room,50,3
30927,Manhattan,Lower East Side,Entire home/apt,105,3
31130,Manhattan,Hell's Kitchen,Private room,130,2
31555,Manhattan,West Village,Entire home/apt,115,29
31902,Brooklyn,Flatlands,Private room,77,2
31994,Brooklyn,Clinton Hill,Private room,76,2
32023,Brooklyn,Bedford-Stuyvesant,Entire home/apt,125,3
32037,Brooklyn,Clinton Hill,Private room,135,4
32100,Brooklyn,Greenpoint,Entire home/apt,250,29
32289,Brooklyn,Williamsburg,Entire home/apt,199,3
32331,Brooklyn,Cobble Hill,Entire home/apt,140,2
32363,Queens,Flushing,Private room,140,2
32965,Brooklyn,Bedford-Stuyvesant,Entire home/apt,115,3
32969,Brooklyn,Williamsburg,Entire home/apt,160,3
33009,Brooklyn,Williamsburg,Entire home/apt,195,4
33014,Manhattan,East Village,Entire home/apt,195,3
33223,Brooklyn,Williamsburg,Private room,80,3
34760,Brooklyn,Fort Greene,Private room,44,8
35526,Manhattan,West Village,Private room,156,4
36121,Brooklyn,Prospect Heights,Private room,85,15
36133,Brooklyn,Williamsburg,Private room,125,3
36442,Brooklyn,Prospect Heights,Entire home/apt,115,15
36647,Manhattan,East Harlem,Private room,69,2
36703,Manhattan,West Village,Entire home/apt,225,45
36934,Brooklyn,Williamsburg,Entire home/apt,125,6
38638,Manhattan,Upper East Side,Entire home/apt,219,4
38663,Brooklyn,Boerum Hill,Entire home/apt,475,3
39267,Manhattan,Upper East Side,Entire home/apt,99,1
39282,Brooklyn,Williamsburg,Private room,69,4
39593,Queens,Sunnyside,Private room,79,30
39704,Brooklyn,Bedford-Stuyvesant,Entire home/apt,135,2
40039,Brooklyn,DUMBO,Private room,250,3
40453,Manhattan,Upper East Side,Entire home/apt,250,3
41348,Brooklyn,Gowanus,Entire home/apt,250,2
41513,Manhattan,Harlem,Entire home/apt,80,3
42580,Brooklyn,Clinton Hill,Private room,70,2
42729,Brooklyn,Carroll Gardens,Entire home/apt,165,2
42882,Staten Island,St. George,Private room,70,2
43957,Brooklyn,Bushwick,Private room,50,2
44096,Bronx,Highbridge,Private room,40,1
44161,Brooklyn,Williamsburg,Entire home/apt,150,2
44212,Manhattan,East Village,Private room,125,1
44221,Manhattan,Financial District,Entire home/apt,196,3
44229,Brooklyn,Fort Greene,Private room,110,2
44288,Manhattan,West Village,Entire home/apt,170,3
44506,Manhattan,Harlem,Entire home/apt,165,3
45393,Manhattan,West Village,Entire home/apt,150,26
45542,Manhattan,Harlem,Entire home/apt,100,2
45556,Brooklyn,Fort Greene,Private room,65,2
45910,Queens,Ridgewood,Entire home/apt,350,8
45936,Manhattan,Morningside Heights,Private room,99,4
45940,Brooklyn,Williamsburg,Entire home/apt,200,4
46544,Brooklyn,Park Slope,Entire home/apt,150,5
46723,Brooklyn,Bedford-Stuyvesant,Private room,90,3
46911,Brooklyn,Prospect Heights,Private room,120,3
47199,Manhattan,Upper East Side,Private room,75,3
47362,Brooklyn,Bedford-Stuyvesant,Entire home/apt,175,26
47370,Manhattan,Chelsea,Entire home/apt,125,3
47926,Manhattan,Hell's Kitchen,Entire home/apt,275,1
48719,Manhattan,Lower East Side,Entire home/apt,299,2
50447,Brooklyn,South Slope,Entire home/apt,135,5
51438,Manhattan,Upper East Side,Private room,130,14
51485,Manhattan,Lower East Side,Private room,83,1
51572,Manhattan,Chelsea,Private room,123,1
51850,Queens,Jamaica,Private room,55,2
53137,Manhattan,Hell's Kitchen,Entire home/apt,195,5
53196,Brooklyn,Bedford-Stuyvesant,Private room,80,2
53469,Queens,Middle Village,Entire home/apt,98,30
53470,Queens,Ridgewood,Private room,140,7
53477,Queens,Middle Village,Entire home/apt,265,7
54158,Brooklyn,Williamsburg,Entire home/apt,249,2
54453,Manhattan,Hell's Kitchen,Shared room,105,6
54466,Manhattan,Harlem,Private room,200,30
54508,Brooklyn,Prospect Heights,Private room,100,2
54544,Manhattan,Harlem,Entire home/apt,121,1
54626,Bronx,Highbridge,Private room,45,1
54860,Manhattan,East Harlem,Private room,100,5
55467,Brooklyn,Williamsburg,Entire home/apt,140,2
55498,Brooklyn,Bedford-Stuyvesant,Private room,71,2
55668,Manhattan,NoHo,Private room,130,2
55737,Manhattan,West Village,Entire home/apt,199,5
55959,Brooklyn,Williamsburg,Private room,69,4
55982,Brooklyn,Fort Greene,Private room,68,3
56467,Manhattan,East Village,Entire home/apt,130,1
56525,Brooklyn,Greenpoint,Entire home/apt,195,2
56859,Manhattan,Harlem,Private room,64,1
57166,Queens,Ditmars Steinway,Entire home/apt,140,2
57297,Brooklyn,Cobble Hill,Entire home/apt,159,2
57468,Manhattan,East Village,Entire home/apt,189,3
57618,Manhattan,Hell's Kitchen,Entire home/apt,250,3
57740,Manhattan,East Village,Entire home/apt,239,3
57754,Manhattan,Flatiron District,Entire home/apt,305,2
57874,Manhattan,Harlem,Entire home/apt,155,3
58059,Manhattan,Harlem,Private room,60,1
58062,Brooklyn,Windsor Terrace,Private room,135,2
58467,Manhattan,Roosevelt Island,Private room,120,7
59014,Manhattan,Lower East Side,Entire home/apt,150,3
59121,Queens,Ridgewood,Entire home/apt,140,14
59642,Brooklyn,Greenpoint,Entire home/apt,135,2
59709,Manhattan,Chinatown,Entire home/apt,250,4
59855,Manhattan,Midtown,Entire home/apt,250,30
60164,Manhattan,SoHo,Entire home/apt,500,4
60457,Manhattan,Greenwich Village,Entire home/apt,225,5
60611,Manhattan,East Harlem,Entire home/apt,125,28
60666,Manhattan,Harlem,Private room,92,1
60673,Manhattan,Harlem,Private room,175,2
60680,Manhattan,East Village,Entire home/apt,99,2
60794,Manhattan,Upper West Side,Entire home/apt,195,4
60948,Manhattan,East Harlem,Entire home/apt,140,3
61167,Manhattan,Little Italy,Entire home/apt,135,2
61224,Manhattan,Chelsea,Entire home/apt,500,2
61406,Manhattan,Harlem,Private room,80,14
61492,Manhattan,Chinatown,Private room,120,4
61509,Manhattan,Midtown,Entire home/apt,110,200
62095,Brooklyn,East Flatbush,Entire home/apt,65,3
62427,Manhattan,East Village,Entire home/apt,130,50
62430,Brooklyn,Bushwick,Entire home/apt,99,3
62452,Staten Island,Tompkinsville,Private room,36,2
62461,Staten Island,Tompkinsville,Private room,37,2
62787,Staten Island,Tompkinsville,Private room,37,2
62891,Manhattan,East Village,Entire home/apt,175,3
62903,Manhattan,Chelsea,Entire home/apt,205,9
62925,Brooklyn,Greenpoint,Entire home/apt,285,3
63299,Brooklyn,Williamsburg,Private room,59,2
63320,Staten Island,Tompkinsville,Private room,36,2
63360,Queens,Astoria,Entire home/apt,99,5
63546,Brooklyn,Kensington,Private room,39,1
63573,Brooklyn,Park Slope,Private room,60,14
63588,Bronx,Clason Point,Private room,90,2
63610,Bronx,Eastchester,Entire home/apt,105,2
63657,Brooklyn,Bedford-Stuyvesant,Entire home/apt,135,2
63693,Manhattan,East Village,Entire home/apt,390,5
63719,Brooklyn,Bedford-Stuyvesant,Private room,70,3
63913,Manhattan,Inwood,Private room,75,7
64000,Brooklyn,Williamsburg,Private room,60,17
64015,Manhattan,East Village,Entire home/apt,200,3
64107,Brooklyn,Crown Heights,Private room,100,3
64277,Brooklyn,Bedford-Stuyvesant,Private room,70,4
64314,Brooklyn,Crown Heights,Private room,110,6
64365,Brooklyn,Crown Heights,Private room,60,2
64707,Manhattan,Little Italy,Entire home/apt,90,14
64837,Manhattan,East Village,Private room,68,2
65019,Manhattan,Upper West Side,Entire home/apt,115,2
65268,Brooklyn,Bedford-Stuyvesant,Private room,75,5
65556,Brooklyn,Williamsburg,Private room,60,3
65562,Manhattan,East Village,Entire home/apt,129,7
65615,Brooklyn,Williamsburg,Entire home/apt,130,10
65660,Brooklyn,Williamsburg,Entire home/apt,95,4
65813,Manhattan,Harlem,Private room,75,3
65834,Brooklyn,Park Slope,Entire home/apt,175,2
66008,Brooklyn,Carroll Gardens,Entire home/apt,190,3
66026,Brooklyn,Crown Heights,Private room,49,21
66251,Manhattan,East Village,Entire home/apt,212,3
66275,Manhattan,Lower East Side,Private room,95,1
66451,Brooklyn,Williamsburg,Entire home/apt,140,2
66718,Manhattan,Harlem,Entire home/apt,135,6
66741,Brooklyn,Park Slope,Entire home/apt,150,2
66974,Brooklyn,Gowanus,Entire home/apt,190,3
67288,Manhattan,East Harlem,Entire home/apt,124,28
67299,Brooklyn,Williamsburg,Entire home/apt,135,30
67397,Manhattan,Morningside Heights,Private room,122,3
68099,Manhattan,Upper West Side,Private room,109,1
68305,Manhattan,Harlem,Private room,85,30
68403,Brooklyn,Bedford-Stuyvesant,Entire home/apt,145,3
68735,Manhattan,Upper West Side,Entire home/apt,195,11
68765,Brooklyn,Carroll Gardens,Entire home/apt,250,2
68900,Brooklyn,Greenpoint,Private room,125,3
68974,Manhattan,Little Italy,Entire home/apt,575,2
69894,Manhattan,Upper West Side,Entire home/apt,150,30
69921,Brooklyn,Bushwick,Private room,70,5
70095,Manhattan,Inwood,Private room,90,2
70128,Manhattan,East Village,Private room,65,3
70609,Manhattan,East Village,Entire home/apt,500,2
71010,Manhattan,Washington Heights,Entire home/apt,250,3
71248,Manhattan,Chinatown,Entire home/apt,125,25
71366,Manhattan,West Village,Entire home/apt,200,30
71384,Brooklyn,Greenpoint,Entire home/apt,229,1
71812,Bronx,Kingsbridge,Entire home/apt,90,30
72190,Manhattan,Upper West Side,Entire home/apt,110,13
72265,Brooklyn,Greenpoint,Private room,59,3
74073,Brooklyn,Williamsburg,Entire home/apt,195,4
74240,Brooklyn,Williamsburg,Entire home/apt,169,1
74333,Manhattan,East Harlem,Entire home/apt,113,14
74404,Manhattan,Harlem,Entire home/apt,250,14
74680,Queens,Astoria,Entire home/apt,115,2
74860,Brooklyn,Greenpoint,Private room,55,2
75193,Brooklyn,Williamsburg,Private room,69,2
75635,Manhattan,Lower East Side,Entire home/apt,150,3
76761,Brooklyn,South Slope,Entire home/apt,169,2
77765,Brooklyn,Greenpoint,Private room,179,3
77936,Manhattan,Hell's Kitchen,Private room,150,3
78919,Brooklyn,Boerum Hill,Entire home/apt,135,4
79067,Brooklyn,Clinton Hill,Entire home/apt,350,6
79782,Brooklyn,Williamsburg,Private room,120,14
80493,Manhattan,East Village,Private room,71,2
80684,Brooklyn,Greenpoint,Private room,349,3
80700,Brooklyn,Greenpoint,Private room,349,3
80924,Brooklyn,Park Slope,Entire home/apt,165,30
81739,Brooklyn,Greenpoint,Private room,249,3
82549,Brooklyn,Brooklyn Heights,Private room,100,3
82550,Brooklyn,Brooklyn Heights,Entire home/apt,200,3
82638,Manhattan,East Village,Entire home/apt,169,4
82928,Brooklyn,Bedford-Stuyvesant,Entire home/apt,185,3
83243,Brooklyn,Bushwick,Entire home/apt,65,2
83446,Brooklyn,Fort Greene,Entire home/apt,130,35
83722,Brooklyn,Williamsburg,Entire home/apt,199,30
83847,Manhattan,East Village,Entire home/apt,225,2
84010,Brooklyn,Greenpoint,Private room,179,3
84059,Brooklyn,Crown Heights,Entire home/apt,150,5
84659,Manhattan,East Village,Entire home/apt,139,1
84905,Manhattan,Two Bridges,Private room,95,3
85094,Brooklyn,Crown Heights,Entire home/apt,79,15
86215,Manhattan,Lower East Side,Entire home/apt,150,2
89427,Brooklyn,Clinton Hill,Entire home/apt,650,5
89621,Brooklyn,Bedford-Stuyvesant,Entire home/apt,90,3
93313,Brooklyn,Bedford-Stuyvesant,Entire home/apt,120,2
94035,Queens,Astoria,Private room,80,1
94209,Brooklyn,Crown Heights,Entire home/apt,100,90
94477,Brooklyn,Bedford-Stuyvesant,Entire home/apt,175,2
94783,Brooklyn,Crown Heights,Entire home/apt,120,5
95747,Brooklyn,Williamsburg,Entire home/apt,140,7
95883,Brooklyn,Bedford-Stuyvesant,Entire home/apt,200,5
96471,Brooklyn,Clinton Hill,Private room,165,4
98330,Manhattan,Kips Bay,Entire home/apt,125,4
98663,Manhattan,Chelsea,Entire home/apt,130,30
99070,Manhattan,East Harlem,Shared room,65,7
99085,Brooklyn,Fort Greene,Entire home/apt,123,30
100002,Manhattan,Washington Heights,Private room,67,2
100184,Queens,Queens Village,Private room,50,1
100186,Brooklyn,Gowanus,Entire home/apt,130,7
101053,Brooklyn,Williamsburg,Private room,100,3
102995,Manhattan,Upper West Side,Entire home/apt,212,21
103161,Brooklyn,Williamsburg,Entire home/apt,190,3
103311,Brooklyn,Greenpoint,Private room,599,3
103806,Manhattan,East Village,Entire home/apt,249,5
105469,Queens,Rockaway Beach,Private room,70,27
105510,Brooklyn,Crown Heights,Entire home/apt,100,30
106363,Manhattan,Harlem,Private room,60,3
106647,Brooklyn,Bedford-Stuyvesant,Entire home/apt,135,2
107630,Brooklyn,Greenpoint,Entire home/apt,175,3
107895,Manhattan,Upper West Side,Entire home/apt,120,5
110739,Manhattan,Midtown,Entire home/apt,169,18
112100,Brooklyn,Crown Heights,Entire home/apt,165,7
112304,Manhattan,Harlem,Private room,90,1
112359,Manhattan,Upper East Side,Entire home/apt,225,2
112435,Brooklyn,Fort Greene,Private room,95,2
113265,Brooklyn,Crown Heights,Private room,55,2
113945,Manhattan,Hell's Kitchen,Private room,85,10
114123,Brooklyn,South Slope,Entire home/apt,199,14
114229,Manhattan,Lower East Side,Entire home/apt,211,1
114969,Manhattan,Midtown,Entire home/apt,145,6
115535,Manhattan,Harlem,Private room,65,14
115678,Manhattan,Harlem,Entire home/apt,99,1
115748,Queens,Astoria,Entire home/apt,110,4
116940,Brooklyn,Crown Heights,Entire home/apt,80,3
117425,Brooklyn,Brooklyn Heights,Entire home/apt,150,30
118061,Brooklyn,Bedford-Stuyvesant,Entire home/apt,110,4
118430,Manhattan,Chelsea,Private room,290,2
118680,Manhattan,East Village,Private room,87,2
120362,Brooklyn,Williamsburg,Entire home/apt,190,4
121687,Brooklyn,Williamsburg,Entire home/apt,200,2
121861,Brooklyn,Park Slope,Entire home/apt,165,2
123784,Manhattan,Harlem,Entire home/apt,110,2
125053,Manhattan,East Village,Entire home/apt,395,2
125163,Brooklyn,Bedford-Stuyvesant,Private room,99,2
125594,Brooklyn,Kensington,Private room,39,1
126443,Manhattan,East Village,Entire home/apt,189,2
126816,Manhattan,Upper West Side,Private room,85,1
127387,Brooklyn,Gowanus,Entire home/apt,260,30
128975,Manhattan,Harlem,Entire home/apt,122,1
131154,Brooklyn,Greenpoint,Entire home/apt,165,2
132516,Queens,Forest Hills,Entire home/apt,97,3
132570,Manhattan,West Village,Entire home/apt,170,4
132695,Brooklyn,Williamsburg,Entire home/apt,125,2
133025,Manhattan,Murray Hill,Private room,130,4
134934,Brooklyn,Williamsburg,Entire home/apt,225,10
135393,Brooklyn,East Flatbush,Private room,50,2
135465,Brooklyn,Fort Greene,Entire home/apt,170,3
135706,Manhattan,Chelsea,Entire home/apt,132,4
136493,Brooklyn,Park Slope,Entire home/apt,250,7
138216,Brooklyn,Greenpoint,Entire home/apt,141,5
139624,Brooklyn,Crown Heights,Entire home/apt,64,20
140133,Brooklyn,Williamsburg,Entire home/apt,249,3
140425,Brooklyn,Crown Heights,Private room,79,2
140973,Manhattan,East Village,Entire home/apt,185,2
141154,Brooklyn,Boerum Hill,Entire home/apt,120,3
141335,Brooklyn,Park Slope,Entire home/apt,495,1
141890,Manhattan,Nolita,Entire home/apt,375,3
141984,Manhattan,Nolita,Entire home/apt,175,3
142069,Manhattan,East Village,Entire home/apt,150,4
144087,Manhattan,Harlem,Entire home/apt,259,8
144148,Manhattan,East Village,Private room,96,1
145064,Brooklyn,Williamsburg,Entire home/apt,145,7
145188,Manhattan,Chelsea,Entire home/apt,200,4
145994,Manhattan,Upper West Side,Entire home/apt,95,5
146754,Brooklyn,Windsor Terrace,Entire home/apt,250,4
147586,Manhattan,Harlem,Entire home/apt,295,2
148201,Manhattan,Greenwich Village,Entire home/apt,175,3
148259,Brooklyn,Williamsburg,Entire home/apt,451,2
148825,Manhattan,Upper West Side,Entire home/apt,165,2
149287,Manhattan,Upper East Side,Entire home/apt,250,4
149777,Bronx,Woodlawn,Entire home/apt,77,1
150804,Manhattan,Lower East Side,Entire home/apt,250,4
151199,Queens,Astoria,Entire home/apt,129,1
151478,Brooklyn,Williamsburg,Private room,98,2
152071,Brooklyn,Park Slope,Entire home/apt,150,2
152078,Manhattan,East Village,Private room,95,7
152259,Manhattan,Harlem,Private room,55,3
152263,Manhattan,Harlem,Entire home/apt,300,2
152520,Queens,Sunnyside,Private room,42,40
153405,Brooklyn,Greenpoint,Entire home/apt,125,2
153780,Manhattan,East Village,Private room,175,3
154934,Manhattan,Harlem,Private room,75,3
155296,Brooklyn,Williamsburg,Entire home/apt,255,45
157673,Brooklyn,Bedford-Stuyvesant,Entire home/apt,72,31
158061,Brooklyn,Bedford-Stuyvesant,Private room,165,1
158176,Brooklyn,Williamsburg,Entire home/apt,165,5
158290,Brooklyn,Clinton Hill,Private room,75,3
158913,Brooklyn,Greenpoint,Entire home/apt,130,5
158955,Brooklyn,Williamsburg,Entire home/apt,139,2
159749,Brooklyn,Bedford-Stuyvesant,Private room,88,1
159815,Brooklyn,Bedford-Stuyvesant,Private room,80,1
159913,Manhattan,Chelsea,Private room,150,2
160609,Manhattan,Upper West Side,Entire home/apt,200,3
160994,Manhattan,East Village,Entire home/apt,200,2
161366,Queens,Sunnyside,Private room,42,40
161394,Brooklyn,Williamsburg,Private room,90,6
161996,Manhattan,Harlem,Entire home/apt,295,3
162493,Brooklyn,Williamsburg,Entire home/apt,450,5
162508,Brooklyn,Crown Heights,Entire home/apt,130,2
163627,Brooklyn,Williamsburg,Private room,89,3
163809,Manhattan,Harlem,Entire home/apt,198,5
163814,Manhattan,East Village,Entire home/apt,99,2
163836,Brooklyn,Greenpoint,Private room,46,4
164989,Manhattan,SoHo,Private room,140,2
165080,Brooklyn,Carroll Gardens,Entire home/apt,500,7
165461,Manhattan,Morningside Heights,Private room,75,5
165824,Queens,Sunnyside,Private room,33,44
166006,Manhattan,Upper West Side,Entire home/apt,250,31
166172,Brooklyn,Bushwick,Private room,60,3
166541,Manhattan,Washington Heights,Private room,75,2
166983,Brooklyn,Carroll Gardens,Entire home/apt,350,5
167013,Manhattan,Chelsea,Entire home/apt,205,9
167017,Brooklyn,Park Slope,Entire home/apt,219,5
167222,Brooklyn,Park Slope,Private room,60,1
167482,Manhattan,Upper West Side,Entire home/apt,185,2
168084,Manhattan,East Village,Entire home/apt,190,3
168123,Brooklyn,South Slope,Entire home/apt,105,28
168546,Manhattan,East Harlem,Entire home/apt,250,2
168810,Manhattan,Upper West Side,Entire home/apt,175,65
169002,Manhattan,Harlem,Private room,65,2
169152,Brooklyn,Bedford-Stuyvesant,Entire home/apt,75,2
169306,Bronx,University Heights,Private room,37,4
169464,Brooklyn,Williamsburg,Entire home/apt,85,2
169483,Brooklyn,Gravesend,Entire home/apt,106,7
170420,Manhattan,East Harlem,Entire home/apt,79,2
170761,Brooklyn,Fort Greene,Private room,85,2
171776,Manhattan,Harlem,Private room,170,2
172700,Manhattan,Lower East Side,Private room,115,3
172870,Manhattan,Harlem,Private room,89,5
173072,Manhattan,Harlem,Shared room,49,3
173151,Brooklyn,Greenpoint,Private room,91,3
173742,Manhattan,Gramercy,Entire home/apt,400,2
174527,Brooklyn,Bushwick,Entire home/apt,150,2
174966,Manhattan,Upper West Side,Entire home/apt,2000,30
176135,Brooklyn,Crown Heights,Entire home/apt,97,3
176653,Manhattan,East Village,Private room,100,4
176962,Brooklyn,Williamsburg,Entire home/apt,179,4
177421,Brooklyn,Greenpoint,Entire home/apt,500,2
177495,Manhattan,Chelsea,Entire home/apt,429,10
177606,Manhattan,Kips Bay,Entire home/apt,189,6
179670,Manhattan,Lower East Side,Private room,120,2
179741,Manhattan,Nolita,Entire home/apt,300,1
180507,Queens,Astoria,Entire home/apt,107,30
180792,Queens,Astoria,Entire home/apt,95,30
181972,Manhattan,Harlem,Entire home/apt,199,2
182069,Manhattan,East Harlem,Entire home/apt,120,2
182095,Manhattan,West Village,Entire home/apt,199,15
182177,Bronx,Allerton,Entire home/apt,125,2
182649,Brooklyn,Williamsburg,Private room,70,2
185266,Brooklyn,Williamsburg,Private room,75,4
187488,Manhattan,West Village,Private room,100,30
187566,Brooklyn,Bedford-Stuyvesant,Entire home/apt,99,2
187986,Manhattan,Chelsea,Entire home/apt,250,1
188146,Brooklyn,Williamsburg,Entire home/apt,350,6
188661,Brooklyn,Prospect Heights,Entire home/apt,170,3
188674,Manhattan,East Village,Entire home/apt,165,1
189135,Manhattan,Hell's Kitchen,Private room,99,1
189181,Manhattan,Chelsea,Private room,255,4
189732,Brooklyn,East New York,Entire home/apt,169,3
189787,Brooklyn,Crown Heights,Entire home/apt,99,4
190267,Manhattan,Upper East Side,Entire home/apt,169,7
